Serving HTTP on 0.0.0.0 port 8000 (http://0.0.0.0:8000/) ...
127.0.0.1 - - [14/Jul/2026 01:34:17] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:17] "GET /css/site.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:17] "GET /assets/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:17] "GET /assets/fonts/fraunces-latin-var.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:17] "GET /js/nav.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:17] "GET /js/dashboard.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:17] "GET /js/shared.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:17] "GET /data/tough-mudder.json HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:17] "GET /assets/favicon-64.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:18] "GET /who-we-are.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:18] "GET /css/site.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:18] "GET /assets/fonts/fraunces-latin-var.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:18] "GET /js/nav.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:18] "GET /assets/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:18] "GET /assets/favicon-64.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:19] "GET /events.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:19] "GET /css/site.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:19] "GET /assets/fonts/fraunces-latin-var.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:19] "GET /js/nav.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:19] "GET /js/shared.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:19] "GET /js/dashboard.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:19] "GET /assets/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:19] "GET /data/tough-mudder.json HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:19] "GET /assets/favicon-64.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:21] "GET /tough-mudder.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:21] "GET /assets/fonts/fraunces-latin-var.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:21] "GET /css/site.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:21] "GET /js/shared.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:21] "GET /js/nav.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:21] "GET /assets/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:21] "GET /js/dashboard.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:21] "GET /assets/diy-logo.svg HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:21] "GET /data/tough-mudder.json HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:21] "GET /assets/favicon-64.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:22] "GET /resources.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:22] "GET /css/site.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:22] "GET /assets/fonts/fraunces-latin-var.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:22] "GET /js/nav.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:22] "GET /assets/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:22] "GET /assets/favicon-64.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:23] "GET /donate.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:23] "GET /js/shared.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:23] "GET /assets/fonts/fraunces-latin-var.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:23] "GET /js/dashboard.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:23] "GET /js/nav.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:23] "GET /assets/logo.png HTTP/1.1" 200 -
